ds,y,type
2024-04-11 02:39:10.297835,4981.891095840342,Miscellaneous
2024-04-12 02:39:10.297835,4790.762520686557,Entertainment
2024-04-13 02:39:10.297835,4639.003611160504,Entertainment
2024-04-14 02:39:10.297835,4613.050564213608,Miscellaneous
2024-04-15 02:39:10.297835,4522.129259382637,Groceries
2024-04-16 02:39:10.297835,4511.66945117087,Miscellaneous
2024-04-17 02:39:10.297835,4504.636524744983,Miscellaneous
2024-04-18 02:39:10.297835,4469.32035964286,Miscellaneous
2024-04-19 02:39:10.297835,4341.119657529082,Entertainment
2024-04-20 02:39:10.297835,4193.666593525794,Entertainment
2024-04-21 02:39:10.297835,4187.9461362254415,Miscellaneous
2024-04-22 02:39:10.297835,4040.052446574102,Groceries
2024-04-23 02:39:10.297835,4005.916954146087,Miscellaneous
2024-04-24 02:39:10.297835,3993.485085272347,Miscellaneous
2024-04-25 02:39:10.297835,3982.1212114200985,Miscellaneous
2024-04-26 02:39:10.297835,3929.1083996464804,Entertainment
2024-04-27 02:39:10.297835,3854.3447959137634,Entertainment
2024-04-28 02:39:10.297835,3830.978320806635,Miscellaneous
2024-04-29 02:39:10.297835,3720.742169501687,Groceries
2024-04-30 02:39:10.297835,3705.5491495947554,Miscellaneous
2024-05-01 02:39:10.297835,6705.549149594755,Salary
2024-05-02 02:39:10.297835,5505.549149594755,Rent
2024-05-03 02:39:10.297835,5375.415628544727,Entertainment
2024-05-04 02:39:10.297835,5330.30673362736,Entertainment
2024-05-05 02:39:10.297835,5315.081670928627,Miscellaneous
2024-05-06 02:39:10.297835,5209.436341898069,Groceries
2024-05-07 02:39:10.297835,5188.473892450473,Miscellaneous
2024-05-08 02:39:10.297835,5155.992733801717,Miscellaneous
2024-05-09 02:39:10.297835,5144.004151426174,Miscellaneous
2024-05-10 02:39:10.297835,5031.441952511724,Entertainment
2024-05-11 02:39:10.297835,4904.807330116556,Entertainment
2024-05-12 02:39:10.297835,4898.181565671356,Miscellaneous
2024-05-13 02:39:10.297835,4775.653426038255,Groceries
2024-05-14 02:39:10.297835,4764.6850817092,Miscellaneous
2024-05-15 02:39:10.297835,4757.4082759547155,Miscellaneous
2024-05-16 02:39:10.297835,4719.197282150849,Miscellaneous
2024-05-17 02:39:10.297835,4525.383516197428,Entertainment
2024-05-18 02:39:10.297835,4359.871993536465,Entertainment
2024-05-19 02:39:10.297835,4344.210511615397,Miscellaneous
2024-05-20 02:39:10.297835,4257.37346363495,Groceries
2024-05-21 02:39:10.297835,4228.425307707024,Miscellaneous
2024-05-22 02:39:10.297835,4208.019970426139,Miscellaneous
2024-05-23 02:39:10.297835,4198.7486322065715,Miscellaneous
2024-05-24 02:39:10.297835,4089.616788386543,Entertainment
2024-05-25 02:39:10.297835,4063.4268545858035,Entertainment
2024-05-26 02:39:10.297835,4026.600640513046,Miscellaneous
2024-05-27 02:39:10.297835,3928.486041801045,Groceries
2024-05-28 02:39:10.297835,3900.2977618486557,Miscellaneous
2024-05-29 02:39:10.297835,3884.3878741855265,Miscellaneous
2024-05-30 02:39:10.297835,3861.185493444303,Miscellaneous
2024-05-31 02:39:10.297835,3742.777643162513,Entertainment
2024-06-01 02:39:10.297835,6742.777643162513,Salary
2024-06-02 02:39:10.297835,5542.777643162513,Rent
2024-06-03 02:39:10.297835,5449.837831275727,Groceries
2024-06-04 02:39:10.297835,5410.902369303967,Miscellaneous
2024-06-05 02:39:10.297835,5378.772720486328,Miscellaneous
2024-06-06 02:39:10.297835,5340.8902575315815,Miscellaneous
2024-06-07 02:39:10.297835,5159.821334454605,Entertainment
